0, ADAS Testing in Co-Simulation: Towards a Meta-Model for Defining Test Scenarios, http://localhost:1313/talks/2023-amost/
1, E2E-Loader: A Framework to Support Performance Testing of Web Applications, http://localhost:1313/talks/2023-icst/
2, Spatio-temporal Data Analytics with KNIME, http://localhost:1313/talks/2023-ucd/
3, A Neural-embedding-based Recommender System to Get the Most out of EV Recharge Times, http://localhost:1313/talks/2023-esars/
4, ReCover: a Curated Dataset for Regression Testing Research, http://localhost:1313/talks/2022-msr-recover/
5, Web Application Testing: Using Tree Kernels to Detect Near-duplicate States in Automated Model Inference, http://localhost:1313/talks/2021-esem-web-app-testing-using-tree-kernels/
6, Expressing structural temporal properties of safety critical hierarchical systems, http://localhost:1313/talks/2021-quatic-expressing-temporal-structural-props/
7, Vehicular Crowd-Sensing on Complex Urban Road Networks: a Case Study in the City of Porto, http://localhost:1313/talks/2021-ewgt-vcs-complex-road-networks/
8, Detecting Near-duplicate States in Web Application Model Inference: a Tree Kernel-based Approach, http://localhost:1313/talks/2021-ecoop-issta-ds/
9, Inspecting Code Churns to Prioritize Test Cases, http://localhost:1313/talks/2020-ictss-inspecting-code-churns/
10, Model Checking for Autonomous Vehicles (NuSMV demo), http://localhost:1313/talks/2020-model-checking-autonomous-vehicles-nusmv/
11, An Introduction to Cloud Computing and Amazon Web Services, http://localhost:1313/talks/2019-an-intro-to-cloud-computing-and-aws-fs-mobility-academy/
12, Getting to know the amazing Amazon Web Services, http://localhost:1313/talks/2018-getting-to-know-aws/
0, ADAS Testing in Co-Simulation: Towards a Meta-Model for Defining Test Scenarios, https://luistar.github.io/talks/2023-amost/
1, E2E-Loader: A Framework to Support Performance Testing of Web Applications, https://luistar.github.io/talks/2023-icst/
2, Spatio-temporal Data Analytics with KNIME, https://luistar.github.io/talks/2023-ucd/
3, A Neural-embedding-based Recommender System to Get the Most out of EV Recharge Times, https://luistar.github.io/talks/2023-esars/
4, ReCover: a Curated Dataset for Regression Testing Research, https://luistar.github.io/talks/2022-msr-recover/
5, Web Application Testing: Using Tree Kernels to Detect Near-duplicate States in Automated Model Inference, https://luistar.github.io/talks/2021-esem-web-app-testing-using-tree-kernels/
6, Expressing structural temporal properties of safety critical hierarchical systems, https://luistar.github.io/talks/2021-quatic-expressing-temporal-structural-props/
7, Vehicular Crowd-Sensing on Complex Urban Road Networks: a Case Study in the City of Porto, https://luistar.github.io/talks/2021-ewgt-vcs-complex-road-networks/
8, Detecting Near-duplicate States in Web Application Model Inference: a Tree Kernel-based Approach, https://luistar.github.io/talks/2021-ecoop-issta-ds/
9, Inspecting Code Churns to Prioritize Test Cases, https://luistar.github.io/talks/2020-ictss-inspecting-code-churns/
10, Model Checking for Autonomous Vehicles (NuSMV demo), https://luistar.github.io/talks/2020-model-checking-autonomous-vehicles-nusmv/
11, An Introduction to Cloud Computing and Amazon Web Services, https://luistar.github.io/talks/2019-an-intro-to-cloud-computing-and-aws-fs-mobility-academy/
12, Getting to know the amazing Amazon Web Services, https://luistar.github.io/talks/2018-getting-to-know-aws/
